HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.subjID,Input.keycode,Answer.comments,Answer.keycodeinput,Answer.numcompleted,Approve,Reject
3ATYLI1PRTDYNJJ67VSK2DGUXPFJOK,3SZEO3JHC8OYGI01JA3DD7RBPZCHYB,RATE_EVENTS#1 (option to continue for bonus hits!),Read sentences and make judgements,"sentences, ratings, emotion, psychology",$0.30,Mon Apr 07 22:28:04 GMT 2014,1,BatchId:1484983;,72000,172800,Mon Apr 14 22:28:04 GMT 2014,,,3GDTJDAPVVMOQJ05TDLHA3EUQOMM81,A36LOA6VLJU157,Approved,Mon Apr 07 22:33:30 GMT 2014,Tue Apr 08 15:01:30 GMT 2014,Thu Apr 10 08:01:30 PDT 2014,Tue Apr 08 10:12:33 PDT 2014,,,59280,100% (1/1),100% (1/1),100% (1/1),Ndim21a_q087_01_872,x442185152q08700x,,x442185152q08700x,3,,
3S4TINXCC0YS50LUJ3F34PXHPK5OB3,3SZEO3JHC8OYGI01JA3DD7RBPZCHYB,RATE_EVENTS#1 (option to continue for bonus hits!),Read sentences and make judgements,"sentences, ratings, emotion, psychology",$0.30,Mon Apr 07 22:28:04 GMT 2014,1,BatchId:1484983;,72000,172800,Mon Apr 14 22:28:04 GMT 2014,,,31Q0U3WYDQQNUG9XQMADCBUWHUO71W,AXMYJ17D88P77,Approved,Tue Apr 08 02:26:15 GMT 2014,Tue Apr 08 03:01:08 GMT 2014,Wed Apr 09 20:01:08 PDT 2014,Tue Apr 08 10:13:55 PDT 2014,,,2093,100% (1/1),100% (1/1),100% (1/1),Ndim21a_q087_02_379,x436424411q08710x,,x436424411q08710x,4,,
3QREJ3J4338LSIMRCOC4BBCDH99LK3,3SZEO3JHC8OYGI01JA3DD7RBPZCHYB,RATE_EVENTS#1 (option to continue for bonus hits!),Read sentences and make judgements,"sentences, ratings, emotion, psychology",$0.30,Mon Apr 07 22:28:04 GMT 2014,1,BatchId:1484983;,72000,172800,Mon Apr 14 22:28:04 GMT 2014,,,33LK57MYLUG68AEXM0HGZWA4HMDSZQ,ABGM4PRBW37RP,Approved,Mon Apr 07 22:56:39 GMT 2014,Tue Apr 08 03:33:33 GMT 2014,Wed Apr 09 20:33:33 PDT 2014,Tue Apr 08 10:11:57 PDT 2014,,,16614,100% (2/2),100% (1/1),100% (1/1),Ndim21a_q088_01_945,x442185152q08800x,,x442185152q08800x,1,,
38EHZ67RIM30WE8TM9S4DWZ9AXJGMY,3SZEO3JHC8OYGI01JA3DD7RBPZCHYB,RATE_EVENTS#1 (option to continue for bonus hits!),Read sentences and make judgements,"sentences, ratings, emotion, psychology",$0.30,Mon Apr 07 22:28:05 GMT 2014,1,BatchId:1484983;,72000,172800,Mon Apr 14 22:28:05 GMT 2014,,,3QAVNHZ3ENFI3PBZQZ4G6H50G7YLA4,A19OKHR9ZQWX8R,Approved,Mon Apr 07 22:56:30 GMT 2014,Mon Apr 07 23:07:20 GMT 2014,Wed Apr 09 16:07:20 PDT 2014,Mon Apr 07 17:43:45 PDT 2014,,,650,100% (1/1),100% (1/1),100% (1/1),Ndim21a_q088_02_769,x436424411q08810x,,x436424411q08810x,2,,
374UMBUHN50RSXI8TKXX9J9M6DMTC1,3SZEO3JHC8OYGI01JA3DD7RBPZCHYB,RATE_EVENTS#1 (option to continue for bonus hits!),Read sentences and make judgements,"sentences, ratings, emotion, psychology",$0.30,Mon Apr 07 22:28:05 GMT 2014,1,BatchId:1484983;,72000,172800,Mon Apr 14 22:28:05 GMT 2014,,,3BWI6RSP7HKMEH392A5SJVDQ62UE7M,A1F63RK1PMJS5Y,Approved,Mon Apr 07 23:08:42 GMT 2014,Mon Apr 07 23:37:52 GMT 2014,Wed Apr 09 16:37:52 PDT 2014,Mon Apr 07 17:44:29 PDT 2014,,,1750,100% (1/1),100% (1/1),100% (1/1),Ndim21a_q089_01_474,x442185152q08900x,applet was a little buggy,x442185152q08900x,40,,
3VAOOVPI3Z3WCO49XOO5QBPS69ELL6,3SZEO3JHC8OYGI01JA3DD7RBPZCHYB,RATE_EVENTS#1 (option to continue for bonus hits!),Read sentences and make judgements,"sentences, ratings, emotion, psychology",$0.30,Mon Apr 07 22:28:05 GMT 2014,1,BatchId:1484983;,72000,172800,Mon Apr 14 22:28:05 GMT 2014,,,3X3OR7WPZ0B4K1IKT1K2AQZ5QJVL8X,AA8NOYG0AXRJO,Approved,Mon Apr 07 22:30:36 GMT 2014,Mon Apr 07 22:37:15 GMT 2014,Wed Apr 09 15:37:15 PDT 2014,Mon Apr 07 17:42:56 PDT 2014,,,399,100% (1/1),100% (1/1),100% (1/1),Ndim21a_q089_02_327,x436424411q08910x,,x436424411q08910x,1,,
3EKTG13IZUEGI6MUX0PKQO4H6E4LM8,3SZEO3JHC8OYGI01JA3DD7RBPZCHYB,RATE_EVENTS#1 (option to continue for bonus hits!),Read sentences and make judgements,"sentences, ratings, emotion, psychology",$0.30,Mon Apr 07 22:28:05 GMT 2014,3,BatchId:1484983;,72000,172800,Tue Apr 15 00:44:14 GMT 2014,,,3CN4LGXD5YZN1Z2H0DJFNMLWXCZY4R,A3MYTEE8WSEQ2Z,Approved,Tue Apr 08 01:46:54 GMT 2014,Tue Apr 08 01:59:23 GMT 2014,Wed Apr 09 18:59:23 PDT 2014,Tue Apr 08 10:13:13 PDT 2014,,,749,100% (1/1),100% (1/1),100% (1/1),Ndim21a_q090_01_107,x442185152q09000x,,x442185152q09000x,3,,
3EKTG13IZUEGI6MUX0PKQO4H6E4LM8,3SZEO3JHC8OYGI01JA3DD7RBPZCHYB,RATE_EVENTS#1 (option to continue for bonus hits!),Read sentences and make judgements,"sentences, ratings, emotion, psychology",$0.30,Mon Apr 07 22:28:05 GMT 2014,3,BatchId:1484983;,72000,172800,Tue Apr 15 00:44:14 GMT 2014,,,3G0WWMR1UWV0E5L1R8HH99OUPKPQNN,A2AKCE474RWYWZ,Rejected,Mon Apr 07 23:26:22 GMT 2014,Mon Apr 07 23:26:29 GMT 2014,Wed Apr 09 16:26:29 PDT 2014,,Mon Apr 07 17:44:13 PDT 2014,failed basic task comprehension questions.,7,0% (0/1),0% (0/1),0% (0/1),Ndim21a_q090_01_107,x442185152q09000x,,x442185152q09000x,2,,
3EKTG13IZUEGI6MUX0PKQO4H6E4LM8,3SZEO3JHC8OYGI01JA3DD7RBPZCHYB,RATE_EVENTS#1 (option to continue for bonus hits!),Read sentences and make judgements,"sentences, ratings, emotion, psychology",$0.30,Mon Apr 07 22:28:05 GMT 2014,3,BatchId:1484983;,72000,172800,Tue Apr 15 00:44:14 GMT 2014,,,3M23Y66PO3I4K0UMKVK52YH9CI0S6J,A1BQI9JKLVCIL0,Rejected,Tue Apr 08 00:52:32 GMT 2014,Tue Apr 08 01:00:33 GMT 2014,Wed Apr 09 18:00:33 PDT 2014,,Mon Apr 07 18:24:47 PDT 2014,failed basic checks and did not complete 40 items.,481,0% (0/1),0% (0/1),0% (0/1),Ndim21a_q090_01_107,x442185152q09000x,,x442185152q09000x.,40,,
3M7OI89LVYZLQZ7WX7P4Y9H8M5C6C4,3SZEO3JHC8OYGI01JA3DD7RBPZCHYB,RATE_EVENTS#1 (option to continue for bonus hits!),Read sentences and make judgements,"sentences, ratings, emotion, psychology",$0.30,Mon Apr 07 22:28:05 GMT 2014,1,BatchId:1484983;,72000,172800,Mon Apr 14 22:28:05 GMT 2014,,,317HQ483I83NX7XIE0C807X8YA1NIA,ABM77ZQWCHPNX,Approved,Mon Apr 07 22:39:13 GMT 2014,Mon Apr 07 22:45:54 GMT 2014,Wed Apr 09 15:45:54 PDT 2014,Mon Apr 07 17:43:12 PDT 2014,,,401,100% (1/1),100% (1/1),100% (1/1),Ndim21a_q090_02_890,x436424411q09010x,,x436424411q09010x,1,,
