emotion,num,valence,source,person,content,length_in_words,duration_in_secs,cause,keeper
Annoyed,1,neg,generated,3rd,exam frustration,57,NaN,"NAMEVAR she did not know half the questions on her pre-med quiz, even though she had studied hard and felt like she knew the material well. It turned out her section leader had forgotten to assign several of the main readings that were tested on that week!!!s quiz. However, the section leader refused to raise her grade.",1
Annoyed,2,neg,generated,3rd,scheduling problem,50,NaN,"NAMEVAR notified her boss 3 weeks in advance that she wanted a weekend off to visit her cousin who just had a baby. The week she was to go away, NAMEVAR looked at her work schedule to find that he had forgotten and booked her to work that weekend anyway.",1
Annoyed,3,neg,generated,3rd,problem set,51,NaN,"NAMEVAR went to the library with some classmates to work on a group project that was due the following day. When they got to the library, they found that all the rooms designated for large group work were taken by single individuals, most of whom were using the area to Skype.",1
Annoyed,4,neg,generated,3rd,train ride,50,NaN,"NAMEVAR was on a train for six hours. She sat in the quiet car hoping to catch up on some work she was missing while traveling. For the duration of the trip, a young girl was on the phone gossiping loudly about the guy she had met the night before.",1
Annoyed,5,neg,generated,3rd,coffee line,54,NaN,"NAMEVAR was rushing to grab a muffin before heading into work. The woman in front of her was talking on the phone and didn!!!t realize she was next. The woman then dilly dallied in deciding what to order. To avoid being late to work, NAMEVAR had to step out of line without her breakfast.",1
Annoyed,6,neg,generated,3rd,mistaken order,56,NaN,"At Starbucks, NAMEVAR waited in a long line to make her order, and waited another 5 minutes for her drink. When the barista called her name, she handed her a coffee instead of the decaf tea NAMEVAR had ordered. NAMEVAR was already late due to the wait, so she had to leave without replacing her order.",1
Annoyed,7,neg,generated,3rd,missed train,55,NaN,"NAMEVAR!!!s friend had offered NAMEVAR a ride to the train station. They had agreed on a 7:00am pickup, but by 7:30 there was no sign of NAMEVAR!!!s friend. NAMEVAR called several times, and finally her friend answered; she had overslept. NAMEVAR!!!s friend hurried over and they raced to the station, but still missed the train.",1
Annoyed,8,neg,generated,3rd,dirty dishes,55,NaN,"NAMEVAR liked to keep her apartment tidy and always put away her dishes after using them. One evening, she came back to the apartment planning to cook a meal for her and her boyfriend. She walked into the kitchen to find coffee spilled on the counter and a pile of dirty dishes in the sink.",1
Annoyed,9,neg,generated,3rd,pay back,49,NaN,"Last week, NAMEVAR went to a comedy show with her friends from class. To make things easier, NAMEVAR bought everyone!!!s ticket with her credit card, and asked them to pay her back the following day. Despite several reminders, none of her friends had paid her back for the show.",1
Annoyed,10,neg,generated,3rd,doodle,49,NaN,"NAMEVAR agreed to organize a holiday party for her office, and made a doodle poll to find a date that work for everyone!!!s schedules. Although NAMEVAR sent several emails reminding her colleagues about the poll, only 3 of her 20 officemates took the time to fill in their availability.",1
