subjID,keycode
Ndim21a_q076_02_231,x436424411q07610x
Ndim21a_q077_01_746,x442185152q07700x
Ndim21a_q077_02_244,x436424411q07710x
Ndim21a_q078_01_734,x442185152q07800x
Ndim21a_q078_02_710,x436424411q07810x
Ndim21a_q079_01_590,x442185152q07900x
Ndim21a_q079_02_298,x436424411q07910x
Ndim21a_q080_01_978,x442185152q08000x
Ndim21a_q080_02_818,x436424411q08010x
Ndim21a_q081_01_564,x442185152q08100x
Ndim21a_q081_02_300,x436424411q08110x
Ndim21a_q082_01_683,x442185152q08200x
Ndim21a_q082_02_455,x436424411q08210x
Ndim21a_q083_01_618,x442185152q08300x
Ndim21a_q083_02_389,x436424411q08310x
Ndim21a_q084_01_667,x442185152q08400x
Ndim21a_q084_02_152,x436424411q08410x
Ndim21a_q085_01_368,x442185152q08500x
Ndim21a_q085_02_971,x436424411q08510x
Ndim21a_q086_01_887,x442185152q08600x
Ndim21a_q086_02_375,x436424411q08610x
Ndim21a_q087_01_872,x442185152q08700x
Ndim21a_q087_02_379,x436424411q08710x
Ndim21a_q088_01_945,x442185152q08800x
Ndim21a_q088_02_769,x436424411q08810x
Ndim21a_q089_01_474,x442185152q08900x
Ndim21a_q089_02_327,x436424411q08910x
Ndim21a_q090_01_107,x442185152q09000x
Ndim21a_q090_02_890,x436424411q09010x
