subjID,keycode
Ndim21b_q011_01_587,x442185152q01100x
Ndim21b_q011_02_945,x436424411q01110x
Ndim21b_q012_01_443,x442185152q01200x
Ndim21b_q012_02_294,x436424411q01210x
Ndim21b_q013_01_479,x442185152q01300x
Ndim21b_q013_02_126,x436424411q01310x
Ndim21b_q014_01_299,x442185152q01400x
Ndim21b_q014_02_494,x436424411q01410x
Ndim21b_q015_01_546,x442185152q01500x
Ndim21b_q015_02_309,x436424411q01510x
Ndim21b_q016_01_307,x442185152q01600x
Ndim21b_q016_02_296,x436424411q01610x
Ndim21b_q017_01_513,x442185152q01700x
Ndim21b_q017_02_360,x436424411q01710x
Ndim21b_q018_01_119,x442185152q01800x
Ndim21b_q018_02_853,x436424411q01810x
Ndim21b_q019_01_600,x442185152q01900x
Ndim21b_q019_02_678,x436424411q01910x
Ndim21b_q020_01_267,x442185152q02000x
Ndim21b_q020_02_993,x436424411q02010x
Ndim21b_q021_01_873,x442185152q02100x
Ndim21b_q021_02_208,x436424411q02110x
Ndim21b_q022_01_399,x442185152q02200x
Ndim21b_q022_02_749,x436424411q02210x
Ndim21b_q023_01_740,x442185152q02300x
Ndim21b_q023_02_942,x436424411q02310x
Ndim21b_q024_01_479,x442185152q02400x
Ndim21b_q024_02_847,x436424411q02410x
Ndim21b_q025_01_703,x442185152q02500x
Ndim21b_q025_02_373,x436424411q02510x
Ndim21b_q026_01_628,x442185152q02600x
Ndim21b_q026_02_894,x436424411q02610x
Ndim21b_q027_01_861,x442185152q02700x
Ndim21b_q027_02_554,x436424411q02710x
Ndim21b_q028_01_630,x442185152q02800x
Ndim21b_q028_02_131,x436424411q02810x
Ndim21b_q029_01_318,x442185152q02900x
Ndim21b_q029_02_817,x436424411q02910x
Ndim21b_q030_01_472,x442185152q03000x
Ndim21b_q030_02_255,x436424411q03010x
Ndim21b_q031_01_593,x442185152q03100x
Ndim21b_q031_02_732,x436424411q03110x
Ndim21b_q032_01_707,x442185152q03200x
Ndim21b_q032_02_437,x436424411q03210x
Ndim21b_q033_01_495,x442185152q03300x
Ndim21b_q033_02_557,x436424411q03310x
Ndim21b_q034_01_800,x442185152q03400x
Ndim21b_q034_02_568,x436424411q03410x
Ndim21b_q035_01_453,x442185152q03500x
Ndim21b_q035_02_540,x436424411q03510x
Ndim21b_q036_01_126,x442185152q03600x
Ndim21b_q036_02_139,x436424411q03610x
Ndim21b_q037_01_733,x442185152q03700x
Ndim21b_q037_02_984,x436424411q03710x
Ndim21b_q038_01_633,x442185152q03800x
Ndim21b_q038_02_454,x436424411q03810x
Ndim21b_q039_01_253,x442185152q03900x
Ndim21b_q039_02_552,x436424411q03910x
Ndim21b_q040_01_983,x442185152q04000x
Ndim21b_q040_02_793,x436424411q04010x
Ndim21b_q041_01_585,x442185152q04100x
Ndim21b_q041_02_874,x436424411q04110x
Ndim21b_q042_01_308,x442185152q04200x
Ndim21b_q042_02_562,x436424411q04210x
Ndim21b_q043_01_957,x442185152q04300x
Ndim21b_q043_02_620,x436424411q04310x
Ndim21b_q044_01_513,x442185152q04400x
Ndim21b_q044_02_342,x436424411q04410x
Ndim21b_q045_01_593,x442185152q04500x
Ndim21b_q045_02_961,x436424411q04510x
Ndim21b_q046_01_105,x442185152q04600x
Ndim21b_q046_02_805,x436424411q04610x
Ndim21b_q047_01_838,x442185152q04700x
Ndim21b_q047_02_897,x436424411q04710x
Ndim21b_q048_01_766,x442185152q04800x
Ndim21b_q048_02_828,x436424411q04810x
Ndim21b_q049_01_566,x442185152q04900x
Ndim21b_q049_02_605,x436424411q04910x
Ndim21b_q050_01_483,x442185152q05000x
Ndim21b_q050_02_150,x436424411q05010x
Ndim21b_q051_01_883,x442185152q05100x
Ndim21b_q051_02_612,x436424411q05110x
Ndim21b_q052_01_279,x442185152q05200x
Ndim21b_q052_02_554,x436424411q05210x
Ndim21b_q053_01_536,x442185152q05300x
Ndim21b_q053_02_421,x436424411q05310x
Ndim21b_q054_01_411,x442185152q05400x
Ndim21b_q054_02_584,x436424411q05410x
Ndim21b_q055_01_661,x442185152q05500x
Ndim21b_q055_02_651,x436424411q05510x
Ndim21b_q056_01_512,x442185152q05600x
Ndim21b_q056_02_125,x436424411q05610x
Ndim21b_q057_01_306,x442185152q05700x
Ndim21b_q057_02_259,x436424411q05710x
Ndim21b_q058_01_626,x442185152q05800x
Ndim21b_q058_02_874,x436424411q05810x
Ndim21b_q059_01_818,x442185152q05900x
Ndim21b_q059_02_817,x436424411q05910x
Ndim21b_q060_01_834,x442185152q06000x
Ndim21b_q060_02_329,x436424411q06010x
Ndim21b_q061_01_857,x442185152q06100x
Ndim21b_q061_02_705,x436424411q06110x
Ndim21b_q062_01_174,x442185152q06200x
Ndim21b_q062_02_115,x436424411q06210x
Ndim21b_q063_01_113,x442185152q06300x
Ndim21b_q063_02_780,x436424411q06310x
Ndim21b_q064_01_324,x442185152q06400x
Ndim21b_q064_02_198,x436424411q06410x
Ndim21b_q065_01_662,x442185152q06500x
Ndim21b_q065_02_409,x436424411q06510x
Ndim21b_q066_01_162,x442185152q06600x
Ndim21b_q066_02_243,x436424411q06610x
Ndim21b_q067_01_574,x442185152q06700x
Ndim21b_q067_02_251,x436424411q06710x
Ndim21b_q068_01_345,x442185152q06800x
Ndim21b_q068_02_740,x436424411q06810x
Ndim21b_q069_01_509,x442185152q06900x
Ndim21b_q069_02_389,x436424411q06910x
Ndim21b_q070_01_526,x442185152q07000x
Ndim21b_q070_02_121,x436424411q07010x
Ndim21b_q071_01_447,x442185152q07100x
Ndim21b_q071_02_478,x436424411q07110x
Ndim21b_q072_01_269,x442185152q07200x
Ndim21b_q072_02_197,x436424411q07210x
Ndim21b_q073_01_909,x442185152q07300x
Ndim21b_q073_02_559,x436424411q07310x
Ndim21b_q074_01_288,x442185152q07400x
Ndim21b_q074_02_645,x436424411q07410x
Ndim21b_q075_01_835,x442185152q07500x
Ndim21b_q075_02_118,x436424411q07510x
Ndim21b_q076_01_116,x442185152q07600x
Ndim21b_q076_02_231,x436424411q07610x
Ndim21b_q077_01_746,x442185152q07700x
Ndim21b_q077_02_244,x436424411q07710x
Ndim21b_q078_01_734,x442185152q07800x
Ndim21b_q078_02_710,x436424411q07810x
Ndim21b_q079_01_590,x442185152q07900x
Ndim21b_q079_02_298,x436424411q07910x
Ndim21b_q080_01_978,x442185152q08000x
Ndim21b_q080_02_818,x436424411q08010x
Ndim21b_q081_01_564,x442185152q08100x
Ndim21b_q081_02_300,x436424411q08110x
Ndim21b_q082_01_683,x442185152q08200x
Ndim21b_q082_02_455,x436424411q08210x
Ndim21b_q083_01_618,x442185152q08300x
Ndim21b_q083_02_389,x436424411q08310x
